date,frequency
1-Jan,25023
2-Jan,26753
3-Jan,28780
4-Jan,25141
5-Jan,31325
6-Jan,33798
7-Jan,35218
8-Jan,37511
9-Jan,35920
10-Jan,30425
11-Jan,28125
12-Jan,34311
13-Jan,35318
14-Jan,35329
15-Jan,36320
16-Jan,38381
17-Jan,31299
18-Jan,29839
19-Jan,24851
20-Jan,32959
21-Jan,33251
22-Jan,34217
23-Jan,36228
24-Jan,28828
25-Jan,27499
26-Jan,25559
27-Jan,9604
28-Jan,32445
29-Jan,36539
30-Jan,40348
31-Jan,36047
1-Feb,27742
2-Feb,28920
3-Feb,36753
4-Feb,36822
5-Feb,37552
6-Feb,38891
7-Feb,31131
8-Feb,28020
9-Feb,31457
10-Feb,34141
11-Feb,35452
12-Feb,35937
13-Feb,40936
14-Feb,32980
15-Feb,30246
16-Feb,28722
17-Feb,31381
18-Feb,33621
19-Feb,36971
20-Feb,40522
21-Feb,28301
22-Feb,27723
23-Feb,37393
24-Feb,38135
25-Feb,37387
26-Feb,38490
27-Feb,39360
28-Feb,32139
1-Mar,20729
2-Mar,26737
3-Mar,26927
4-Mar,28503
5-Mar,21048
6-Mar,28364
7-Mar,27536
8-Mar,24495
9-Mar,26966
10-Mar,27302
11-Mar,27575
12-Mar,29205
13-Mar,29380
14-Mar,28584
15-Mar,24520
16-Mar,26185
17-Mar,26032
18-Mar,27969
19-Mar,28716
20-Mar,28496
21-Mar,26361
22-Mar,24816
23-Mar,26792
24-Mar,25782
25-Mar,26933
26-Mar,27634
27-Mar,29415
28-Mar,26675
29-Mar,23981
30-Mar,25613
31-Mar,23734
1-Apr,42860
2-Apr,43308
3-Apr,39237
4-Apr,35088
5-Apr,34775
6-Apr,37658
7-Apr,40275
8-Apr,40878
9-Apr,42120
10-Apr,41840
11-Apr,36834
12-Apr,35050
13-Apr,40543
14-Apr,41092
15-Apr,42750
16-Apr,43086
17-Apr,42291
18-Apr,37020
19-Apr,34742
20-Apr,42768
21-Apr,41181
22-Apr,42466
23-Apr,43148
24-Apr,44491
25-Apr,37541
26-Apr,34926
27-Apr,39855
28-Apr,39010
29-Apr,41196
30-Apr,41240
1-May,42067
2-May,35509
3-May,34969
4-May,38809
5-May,39578
6-May,41406
7-May,42063
8-May,41463
9-May,34568
10-May,34081
11-May,40087
12-May,40012
13-May,41207
14-May,41429
15-May,39771
16-May,34447
17-May,31801
18-May,37903
19-May,38979
20-May,40153
21-May,41062
22-May,37941
23-May,30882
24-May,28713
25-May,25501
26-May,36511
27-May,38474
28-May,38956
29-May,37845
30-May,31595
31-May,31643
1-Jun,36765
2-Jun,36412
3-Jun,35949
4-Jun,36183
5-Jun,34331
6-Jun,28517
7-Jun,27304
8-Jun,33937
9-Jun,33635
10-Jun,34012
11-Jun,35328
12-Jun,33501
13-Jun,27608
14-Jun,26214
15-Jun,33580
16-Jun,33579
17-Jun,34681
18-Jun,35188
19-Jun,33172
20-Jun,27519
21-Jun,25371
22-Jun,30460
23-Jun,32472
24-Jun,32262
25-Jun,32324
26-Jun,29882
27-Jun,25971
28-Jun,22224
29-Jun,27127
30-Jun,26467
1-Jul,17248
2-Jul,15460
3-Jul,11821
4-Jul,9469
5-Jul,9889
6-Jul,15010
7-Jul,18960
8-Jul,17804
9-Jul,17798
10-Jul,15326
11-Jul,11543
12-Jul,11091
13-Jul,16638
14-Jul,17845
15-Jul,17918
16-Jul,18146
17-Jul,15029
18-Jul,11181
19-Jul,11431
20-Jul,16764
21-Jul,17564
22-Jul,18051
23-Jul,18101
24-Jul,15284
25-Jul,11397
26-Jul,10811
27-Jul,16418
28-Jul,18210
29-Jul,18056
30-Jul,18314
31-Jul,15554
1-Aug,1048
2-Aug,1060
3-Aug,959
4-Aug,1398
5-Aug,1090
6-Aug,1012
7-Aug,1068
8-Aug,1135
9-Aug,1038
10-Aug,1260
11-Aug,1073
12-Aug,906
13-Aug,1019
14-Aug,1114
15-Aug,1152
16-Aug,827
17-Aug,750
18-Aug,753
19-Aug,789
20-Aug,744
21-Aug,826
22-Aug,774
23-Aug,754
24-Aug,807
25-Aug,748
26-Aug,801
27-Aug,691
28-Aug,809
29-Aug,793
30-Aug,716
31-Aug,801
