date,frequency
1-Jan,11172
2-Jan,6733
3-Jan,8090
5-Jan,8492
6-Jan,16425
12-Jan,9127
14-Jan,2609
15-Jan,682
16-Jan,696
17-Jan,2421
18-Jan,937
19-Jan,5558
20-Jan,7156
21-Jan,7947
22-Jan,8979
23-Jan,11640
24-Jan,10009
25-Jan,13906
26-Jan,5862
27-Jan,3381
28-Jan,14204
29-Jan,11720
30-Jan,18353
31-Jan,12280
1-Feb,14254
2-Feb,11360
3-Feb,1467
4-Feb,1404
5-Feb,2644
6-Feb,3383
7-Feb,1046
8-Feb,7714
9-Feb,10367
10-Feb,10730
11-Feb,12366
12-Feb,14031
13-Feb,6010
22-Feb,19939
23-Feb,9335
4-Mar,25924
10-Mar,941
11-Mar,17373
17-Mar,19108
22-Mar,12032
27-Mar,12652
28-Mar,15629
29-Mar,15528
30-Mar,13040
31-Mar,24061
1-Apr,21358
2-Apr,11596
4-Apr,1440
5-Apr,14601
7-Apr,4128
8-Apr,5507
9-Apr,1079
10-Apr,7454
11-Apr,4526
13-Apr,9230
15-Apr,9229
16-Apr,2901
17-Apr,1836
18-Apr,8188
21-Apr,37
22-Apr,6085
23-Apr,2927
24-Apr,11576
25-Apr,1318
26-Apr,5219
27-Apr,2453
28-Apr,6303
29-Apr,6314
30-Apr,930
1-May,2947
15-May,20871
17-May,36255
18-May,33360
19-May,35532
20-May,11439
21-May,31761
22-May,9944
23-May,8743
24-May,7707
25-May,6386
26-May,8456
27-May,12215
28-May,3016
1-Jun,18459
5-Jun,7579
6-Jun,4948
10-Jun,18055
13-Jun,5912
14-Jun,8180
16-Jun,16481
17-Jun,42192
18-Jun,21918
20-Jun,7360
22-Jun,1296
24-Jun,4891
25-Jun,9072
26-Jun,7485
28-Jun,8093
29-Jun,9229
30-Jun,1841
